"25","simulated","cos",0.61,0.48,0.26,0.58,0.34,0.05,0.64,0.17,0.01,0.29,0,0,0.03,0,0,0.17,0,0,0.08,0,0,0.01,0,0,"sim_best","real"
"26","simulated","j",0.41,0,0,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sim_best","real"
"27","simulated","mkl",0.31,0,0,0.05,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sim_best","real"
"28","simulated","ro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sim_best","real"
"29","simulated_worst_vs_real","cos",0.5,0.35,0.15,0.55,0.15,0.01,0.46,0.16,0,0.07,0,0,0.01,0,0,0.01,0,0,0.12,0,0,0.1,0,0,"sim_worst","real"
"30","simulated_worst_vs_real","j",0.29,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sim_worst","real"
"31","simulated_worst_vs_real","mkl",0.18,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sim_worst","real"
"32","simulated_worst_vs_real","ro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sim_worst","real"
"33","simulation_quality_best","cos",0.51,0.5,0.49,0.54,0.57,0.59,0.6,0.62,0.63,0.63,0.65,0.66,0.65,0.66,0.67,0.66,0.67,0.67,0.59,0.64,0.65,0.63,0.65,0.63,"sim-best","sim-worst"
"34","simulation_quality_best","j",0.48,0.47,0.43,0.49,0.44,0.35,0.5,0.44,0.34,0.6,0.58,0.58,0.65,0.61,0.61,0.67,0.61,0.61,0.66,0.62,0.62,0.66,0.63,0.63,"sim-best","sim-worst"
"35","simulation_quality_best","mkl",0.47,0.43,0.4,0.5,0.41,0.34,0.55,0.5,0.43,0.64,0.6,0.6,0.66,0.61,0.61,0.67,0.62,0.61,0.66,0.62,0.62,0.67,0.63,0.63,"sim-best","sim-worst"
"36","simulation_quality_best","ro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sim-best","sim-worst"
"37","simulation_quality_worst","cos",0.56,0.56,0.56,0.46,0.42,0.33,0.44,0.27,0.22,0.24,0.08,0.03,0.15,0.03,0,0.04,0.01,0,0.3,0.12,0.06,0.24,0.15,0.13,"sim-worst","sim-best"
"38","simulation_quality_worst","j",0.56,0.57,0.6,0.53,0.54,0.56,0.55,0.56,0.56,0.34,0.22,0.2,0.12,0.09,0.09,0.01,0.09,0.09,0.02,0.08,0.08,0,0.08,0.08,"sim-worst","sim-best"
"39","simulation_quality_worst","mkl",0.57,0.6,0.61,0.51,0.56,0.57,0.52,0.51,0.51,0.21,0.12,0.09,0.03,0.09,0.09,0,0.08,0.09,0.03,0.08,0.08,0.01,0.08,0.08,"sim-worst","sim-best"
