Criteria;Classifier;n;l;Freq. Threshold;TP;FP;TN;FN;Recall;Precision;F-Measure
task_failed;cosine;1;0.05;0;42.0;76.0;47.0;31.0;0.575342465753;0.35593220339;0.439790575916
task_failed;rank order;1;0.05;0;73.0;123.0;0.0;0.0;1.0;0.372448979592;0.542750929368
task_failed;cosine;2;0.05;0;41.0;71.0;52.0;32.0;0.561643835616;0.366071428571;0.443243243243
task_failed;rank order;2;0.05;0;73.0;123.0;0.0;0.0;1.0;0.372448979592;0.542750929368
task_failed;cosine;3;0.05;0;57.0;93.0;30.0;16.0;0.780821917808;0.38;0.511210762332
task_failed;rank order;3;0.05;0;73.0;123.0;0.0;0.0;1.0;0.372448979592;0.542750929368
