Criteria;Classifier;n;l;Freq. Threshold;TP;FP;TN;FN;Recall;Precision;F-Measure
task_failed;mean kullback leibler;1;0.05;2;37.0;53.0;70.0;36.0;0.506849315068;0.411111111111;0.453987730061
task_failed;symmetric kullback leibler;1;0.05;2;73.0;123.0;0.0;0.0;1.0;0.372448979592;0.542750929368
task_failed;rank order;1;0.05;2;73.0;123.0;0.0;0.0;1.0;0.372448979592;0.542750929368
task_failed;cosine;2;0.05;2;44.0;51.0;72.0;29.0;0.602739726027;0.463157894737;0.52380952381
task_failed;jensen;2;0.05;2;45.0;60.0;63.0;28.0;0.616438356164;0.428571428571;0.505617977528
task_failed;kullback leibler;2;0.05;2;55.0;70.0;53.0;18.0;0.753424657534;0.44;0.555555555556
task_failed;mean kullback leibler;2;0.05;2;50.0;60.0;63.0;23.0;0.684931506849;0.454545454545;0.546448087432
task_failed;symmetric kullback leibler;2;0.05;2;73.0;123.0;0.0;0.0;1.0;0.372448979592;0.542750929368
task_failed;rank order;2;0.05;2;73.0;123.0;0.0;0.0;1.0;0.372448979592;0.542750929368
task_failed;cosine;3;0.05;2;60.0;104.0;19.0;13.0;0.821917808219;0.365853658537;0.506329113924
task_failed;jensen;3;0.05;2;56.0;97.0;26.0;17.0;0.767123287671;0.366013071895;0.495575221239
task_failed;kullback leibler;3;0.05;2;56.0;88.0;35.0;17.0;0.767123287671;0.388888888889;0.516129032258
task_failed;mean kullback leibler;3;0.05;2;57.0;97.0;26.0;16.0;0.780821917808;0.37012987013;0.502202643172
task_failed;symmetric kullback leibler;3;0.05;2;73.0;123.0;0.0;0.0;1.0;0.372448979592;0.542750929368
task_failed;rank order;3;0.05;2;73.0;123.0;0.0;0.0;1.0;0.372448979592;0.542750929368
task_failed;cosine;4;0.05;2;57.0;92.0;31.0;16.0;0.780821917808;0.38255033557;0.513513513514
task_failed;jensen;4;0.05;2;36.0;60.0;63.0;37.0;0.493150684932;0.375;0.426035502959
task_failed;kullback leibler;4;0.05;2;44.0;70.0;53.0;29.0;0.602739726027;0.385964912281;0.470588235294
task_failed;mean kullback leibler;4;0.05;2;42.0;66.0;57.0;31.0;0.575342465753;0.388888888889;0.46408839779
task_failed;symmetric kullback leibler;4;0.05;2;73.0;123.0;0.0;0.0;1.0;0.372448979592;0.542750929368
task_failed;rank order;4;0.05;2;73.0;123.0;0.0;0.0;1.0;0.372448979592;0.542750929368
task_failed;cosine;5;0.05;2;45.0;87.0;36.0;28.0;0.616438356164;0.340909090909;0.439024390244
task_failed;jensen;5;0.05;2;13.0;34.0;89.0;60.0;0.178082191781;0.276595744681;0.216666666667
task_failed;kullback leibler;5;0.05;2;28.0;38.0;85.0;45.0;0.383561643836;0.424242424242;0.402877697842
task_failed;mean kullback leibler;5;0.05;2;20.0;27.0;96.0;53.0;0.27397260274;0.425531914894;0.333333333333
task_failed;symmetric kullback leibler;5;0.05;2;73.0;123.0;0.0;0.0;1.0;0.372448979592;0.542750929368
task_failed;rank order;5;0.05;2;73.0;123.0;0.0;0.0;1.0;0.372448979592;0.542750929368
task_failed;cosine;6;0.05;2;50.0;68.0;55.0;23.0;0.684931506849;0.423728813559;0.523560209424
task_failed;jensen;6;0.05;2;5.0;11.0;112.0;68.0;0.0684931506849;0.3125;0.112359550562
task_failed;kullback leibler;6;0.05;2;14.0;24.0;99.0;59.0;0.191780821918;0.368421052632;0.252252252252
task_failed;mean kullback leibler;6;0.05;2;10.0;15.0;108.0;63.0;0.13698630137;0.4;0.204081632653
task_failed;symmetric kullback leibler;6;0.05;2;73.0;123.0;0.0;0.0;1.0;0.372448979592;0.542750929368
task_failed;rank order;6;0.05;2;73.0;123.0;0.0;0.0;1.0;0.372448979592;0.542750929368
task_failed;cosine;7;0.05;2;56.0;90.0;33.0;17.0;0.767123287671;0.383561643836;0.511415525114
task_failed;jensen;7;0.05;2;4.0;6.0;117.0;69.0;0.0547945205479;0.4;0.0963855421687
task_failed;kullback leibler;7;0.05;2;12.0;16.0;107.0;61.0;0.164383561644;0.428571428571;0.237623762376
task_failed;mean kullback leibler;7;0.05;2;5.0;11.0;112.0;68.0;0.0684931506849;0.3125;0.112359550562
task_failed;symmetric kullback leibler;7;0.05;2;73.0;123.0;0.0;0.0;1.0;0.372448979592;0.542750929368
task_failed;rank order;7;0.05;2;73.0;123.0;0.0;0.0;1.0;0.372448979592;0.542750929368
task_failed;cosine;8;0.05;2;55.0;83.0;40.0;18.0;0.753424657534;0.398550724638;0.521327014218
task_failed;jensen;8;0.05;2;2.0;8.0;115.0;71.0;0.027397260274;0.2;0.0481927710843
task_failed;kullback leibler;8;0.05;2;5.0;14.0;109.0;68.0;0.0684931506849;0.263157894737;0.108695652174
task_failed;mean kullback leibler;8;0.05;2;2.0;8.0;115.0;71.0;0.027397260274;0.2;0.0481927710843
task_failed;symmetric kullback leibler;8;0.05;2;73.0;123.0;0.0;0.0;1.0;0.372448979592;0.542750929368
task_failed;rank order;8;0.05;2;73.0;123.0;0.0;0.0;1.0;0.372448979592;0.542750929368
word_accuracy_100;cosine;1;0.05;2;9.0;73.0;26.0;8.0;0.529411764706;0.109756097561;0.181818181818
word_accuracy_100;jensen;1;0.05;2;11.0;79.0;20.0;6.0;0.647058823529;0.122222222222;0.205607476636
word_accuracy_100;kullback leibler;1;0.05;2;12.0;75.0;24.0;5.0;0.705882352941;0.137931034483;0.230769230769
word_accuracy_100;mean kullback leibler;1;0.05;2;11.0;77.0;22.0;6.0;0.647058823529;0.125;0.209523809524
word_accuracy_100;symmetric kullback leibler;1;0.05;2;17.0;99.0;0.0;0.0;1.0;0.146551724138;0.255639097744
word_accuracy_100;rank order;1;0.05;2;17.0;99.0;0.0;0.0;1.0;0.146551724138;0.255639097744
word_accuracy_100;cosine;2;0.05;2;7.0;37.0;62.0;10.0;0.411764705882;0.159090909091;0.229508196721
word_accuracy_100;jensen;2;0.05;2;7.0;27.0;72.0;10.0;0.411764705882;0.205882352941;0.274509803922
word_accuracy_100;kullback leibler;2;0.05;2;10.0;33.0;66.0;7.0;0.588235294118;0.232558139535;0.333333333333
word_accuracy_100;mean kullback leibler;2;0.05;2;8.0;22.0;77.0;9.0;0.470588235294;0.266666666667;0.340425531915
word_accuracy_100;symmetric kullback leibler;2;0.05;2;17.0;99.0;0.0;0.0;1.0;0.146551724138;0.255639097744
word_accuracy_100;rank order;2;0.05;2;17.0;99.0;0.0;0.0;1.0;0.146551724138;0.255639097744
word_accuracy_100;cosine;3;0.05;2;13.0;80.0;19.0;4.0;0.764705882353;0.139784946237;0.236363636364
word_accuracy_100;jensen;3;0.05;2;10.0;29.0;70.0;7.0;0.588235294118;0.25641025641;0.357142857143
word_accuracy_100;kullback leibler;3;0.05;2;13.0;38.0;61.0;4.0;0.764705882353;0.254901960784;0.382352941176
word_accuracy_100;mean kullback leibler;3;0.05;2;12.0;33.0;66.0;5.0;0.705882352941;0.266666666667;0.387096774194
word_accuracy_100;symmetric kullback leibler;3;0.05;2;17.0;99.0;0.0;0.0;1.0;0.146551724138;0.255639097744
word_accuracy_100;rank order;3;0.05;2;17.0;99.0;0.0;0.0;1.0;0.146551724138;0.255639097744
word_accuracy_100;cosine;4;0.05;2;17.0;94.0;5.0;0.0;1.0;0.153153153153;0.265625
word_accuracy_100;jensen;4;0.05;2;8.0;46.0;53.0;9.0;0.470588235294;0.148148148148;0.225352112676
word_accuracy_100;kullback leibler;4;0.05;2;11.0;53.0;46.0;6.0;0.647058823529;0.171875;0.271604938272
word_accuracy_100;mean kullback leibler;4;0.05;2;9.0;47.0;52.0;8.0;0.529411764706;0.160714285714;0.246575342466
