Criteria,Classifier,n,Freq. Threshold,TP,FP,TN,FN,Recall,Precision,F-Measure
simulation_quality,kullback leibler,2,2,218.0,0.0,1580.0,1362.0,0.137974683544,1.0,0.242491657397
simulation_quality,kullback leibler,2,3,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,kullback leibler,2,4,1556.0,1514.0,66.0,24.0,0.984810126582,0.506840390879,0.669247311828
simulation_quality,kullback leibler,2,5,1441.0,1336.0,244.0,139.0,0.912025316456,0.518905293482,0.661464310305
simulation_quality,kullback leibler,2,6,777.0,445.0,1135.0,803.0,0.491772151899,0.635842880524,0.55460385439
simulation_quality,kullback leibler,2,7,1445.0,1341.0,239.0,135.0,0.914556962025,0.518664752333,0.66193311956
simulation_quality,mean kullback leibler,2,1,237.0,0.0,1580.0,1343.0,0.15,1.0,0.260869565217
simulation_quality,mean kullback leibler,2,2,744.0,356.0,1224.0,836.0,0.470886075949,0.676363636364,0.555223880597
simulation_quality,mean kullback leibler,2,3,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,mean kullback leibler,2,4,1571.0,1544.0,36.0,9.0,0.994303797468,0.504333868379,0.66922257721
simulation_quality,mean kullback leibler,2,5,1504.0,1427.0,153.0,76.0,0.951898734177,0.513135448652,0.666814453558
simulation_quality,mean kullback leibler,2,6,1226.0,871.0,709.0,354.0,0.775949367089,0.584644730567,0.666847973892
simulation_quality,mean kullback leibler,2,7,1502.0,1397.0,183.0,78.0,0.950632911392,0.518109692998,0.670685420853
simulation_quality,symmetric kullback leibler,2,1,237.0,0.0,1580.0,1343.0,0.15,1.0,0.260869565217
simulation_quality,symmetric kullback leibler,2,2,744.0,356.0,1224.0,836.0,0.470886075949,0.676363636364,0.555223880597
simulation_quality,symmetric kullback leibler,2,3,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,symmetric kullback leibler,2,4,1571.0,1544.0,36.0,9.0,0.994303797468,0.504333868379,0.66922257721
simulation_quality,symmetric kullback leibler,2,5,1504.0,1427.0,153.0,76.0,0.951898734177,0.513135448652,0.666814453558
simulation_quality,symmetric kullback leibler,2,6,1226.0,871.0,709.0,354.0,0.775949367089,0.584644730567,0.666847973892
simulation_quality,symmetric kullback leibler,2,7,1502.0,1397.0,183.0,78.0,0.950632911392,0.518109692998,0.670685420853
simulation_quality,cosine,3,1,1375.0,1028.0,552.0,205.0,0.870253164557,0.572201414898,0.69043434597
simulation_quality,cosine,3,2,1424.0,1166.0,414.0,156.0,0.901265822785,0.549806949807,0.682973621103
simulation_quality,cosine,3,3,1486.0,1339.0,241.0,94.0,0.940506329114,0.526017699115,0.674687854711
simulation_quality,cosine,3,4,1437.0,1163.0,417.0,143.0,0.909493670886,0.552692307692,0.687559808612
simulation_quality,cosine,3,5,1389.0,1088.0,492.0,191.0,0.879113924051,0.56075898264,0.684742420508
simulation_quality,cosine,3,6,1331.0,958.0,622.0,249.0,0.842405063291,0.581476627348,0.688033083484
simulation_quality,cosine,3,7,1323.0,957.0,623.0,257.0,0.837341772152,0.580263157895,0.685492227979
simulation_quality,jensen,3,1,378.0,5.0,1575.0,1202.0,0.239240506329,0.986945169713,0.385124808966
simulation_quality,jensen,3,2,1580.0,1576.0,4.0,0.0,1.0,0.500633713561,0.66722972973
simulation_quality,jensen,3,3,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,jensen,3,4,1580.0,1579.0,1.0,0.0,1.0,0.500158277936,0.666807343321
simulation_quality,jensen,3,5,1580.0,1579.0,1.0,0.0,1.0,0.500158277936,0.666807343321
simulation_quality,jensen,3,6,1567.0,1535.0,45.0,13.0,0.991772151899,0.505157962605,0.669372063221
simulation_quality,jensen,3,7,1566.0,1532.0,48.0,14.0,0.991139240506,0.505487411233,0.669516887559
simulation_quality,kullback leibler,3,1,11.0,0.0,1580.0,1569.0,0.00696202531646,1.0,0.0138277812696
simulation_quality,kullback leibler,3,2,396.0,26.0,1554.0,1184.0,0.250632911392,0.938388625592,0.395604395604
simulation_quality,kullback leibler,3,3,1579.0,1580.0,0.0,1.0,0.999367088608,0.499841722064,0.666385313357
simulation_quality,kullback leibler,3,4,1578.0,1579.0,1.0,2.0,0.998734177215,0.499841621793,0.666244458518
simulation_quality,kullback leibler,3,5,1577.0,1578.0,2.0,3.0,0.998101265823,0.499841521395,0.666103484688
simulation_quality,kullback leibler,3,6,1544.0,1514.0,66.0,36.0,0.977215189873,0.504905166776,0.665804225959
simulation_quality,kullback leibler,3,7,1553.0,1519.0,61.0,27.0,0.982911392405,0.505533854167,0.667669819433
simulation_quality,mean kullback leibler,3,1,392.0,32.0,1548.0,1188.0,0.248101265823,0.924528301887,0.39121756487
simulation_quality,mean kullback leibler,3,2,1551.0,1417.0,163.0,29.0,0.98164556962,0.522574123989,0.682058047493
simulation_quality,mean kullback leibler,3,3,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,mean kullback leibler,3,4,1580.0,1579.0,1.0,0.0,1.0,0.500158277936,0.666807343321
simulation_quality,mean kullback leibler,3,5,1579.0,1579.0,1.0,1.0,0.999367088608,0.5,0.666525960321
simulation_quality,mean kullback leibler,3,6,1545.0,1503.0,77.0,35.0,0.977848101266,0.50688976378,0.667675021608
simulation_quality,mean kullback leibler,3,7,1553.0,1499.0,81.0,27.0,0.982911392405,0.508846657929,0.670552677029
simulation_quality,symmetric kullback leibler,3,1,392.0,32.0,1548.0,1188.0,0.248101265823,0.924528301887,0.39121756487
simulation_quality,symmetric kullback leibler,3,2,1551.0,1417.0,163.0,29.0,0.98164556962,0.522574123989,0.682058047493
simulation_quality,symmetric kullback leibler,3,3,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,symmetric kullback leibler,3,4,1580.0,1579.0,1.0,0.0,1.0,0.500158277936,0.666807343321
simulation_quality,symmetric kullback leibler,3,5,1579.0,1579.0,1.0,1.0,0.999367088608,0.5,0.666525960321
simulation_quality,symmetric kullback leibler,3,6,1545.0,1503.0,77.0,35.0,0.977848101266,0.50688976378,0.667675021608
simulation_quality,symmetric kullback leibler,3,7,1553.0,1499.0,81.0,27.0,0.982911392405,0.508846657929,0.670552677029
simulation_quality,cosine,4,1,1570.0,1525.0,55.0,10.0,0.993670886076,0.507269789984,0.671657754011
simulation_quality,cosine,4,2,1577.0,1568.0,12.0,3.0,0.998101265823,0.501430842607,0.667513227513
