Criteria;Classifier;n;l;Freq. Threshold;TP;FP;TN;FN;Recall;Precision;F-Measure
task_successful;cosine;1;0.05;1;61.0;28.0;45.0;62.0;0.49593495935;0.685393258427;0.575471698113
task_failed;cosine;1;0.05;1;45.0;62.0;61.0;28.0;0.616438356164;0.420560747664;0.5
short_interactions;cosine;1;0.05;1;47.0;0.0;50.0;2.0;0.959183673469;1.0;0.979166666667
long_interactions;cosine;1;0.05;1;50.0;2.0;47.0;0.0;1.0;0.961538461538;0.980392156863
word_accuracy_100;cosine;1;0.05;1;14.0;18.0;81.0;3.0;0.823529411765;0.4375;0.571428571429
word_accuracy_60;cosine;1;0.05;1;81.0;3.0;14.0;18.0;0.818181818182;0.964285714286;0.885245901639
