Criteria;Classifier;n;Freq. Threshold;TP;FP;TN;FN;Recall;Precision;F-Measure
task_success;cosine;1;0;61.0;28.0;45.0;62.0;0.49593495935;0.685393258427;0.575471698113
task_success;cosine;1;1;61.0;28.0;45.0;62.0;0.49593495935;0.685393258427;0.575471698113
task_success;cosine;1;2;63.0;28.0;45.0;60.0;0.512195121951;0.692307692308;0.588785046729
task_success;cosine;2;0;61.0;26.0;47.0;62.0;0.49593495935;0.701149425287;0.580952380952
task_success;cosine;2;1;61.0;26.0;47.0;62.0;0.49593495935;0.701149425287;0.580952380952
task_success;cosine;2;2;64.0;27.0;46.0;59.0;0.520325203252;0.703296703297;0.598130841121
task_success;cosine;3;0;40.0;17.0;56.0;83.0;0.325203252033;0.701754385965;0.444444444444
task_success;cosine;3;1;40.0;17.0;56.0;83.0;0.325203252033;0.701754385965;0.444444444444
task_success;cosine;3;2;44.0;23.0;50.0;79.0;0.357723577236;0.65671641791;0.463157894737
