Criteria;Classifier;n;Freq. Threshold;TP;FP;TN;FN;Recall;Precision;F-Measure
task_success;cosine;1;0;57.0;27.0;46.0;66.0;0.463414634146;0.678571428571;0.550724637681
task_success;cosine;1;1;57.0;27.0;46.0;66.0;0.463414634146;0.678571428571;0.550724637681
task_success;cosine;1;2;74.0;29.0;44.0;49.0;0.60162601626;0.718446601942;0.654867256637
task_success;cosine;2;0;33.0;13.0;60.0;90.0;0.268292682927;0.717391304348;0.390532544379
task_success;cosine;2;1;33.0;13.0;60.0;90.0;0.268292682927;0.717391304348;0.390532544379
task_success;cosine;2;2;36.0;16.0;57.0;87.0;0.292682926829;0.692307692308;0.411428571429
task_success;cosine;3;0;16.0;2.0;71.0;107.0;0.130081300813;0.888888888889;0.22695035461
task_success;cosine;3;1;16.0;2.0;71.0;107.0;0.130081300813;0.888888888889;0.22695035461
task_success;cosine;3;2;20.0;3.0;70.0;103.0;0.162601626016;0.869565217391;0.27397260274
